idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
627,1.0,72.0,1,0.0
627,2.0,29.0,0,0.0
627,2.0,50.0,0,0.0
627,2.0,80.0,0,0.0
627,2.0,50.0,0,0.0
627,2.0,42.0,0,0.0
627,2.0,60.0,0,0.0
629,1.0,29.0,0,0.0
629,1.0,27.0,0,0.0
630,1.0,39.0,0,0.0
630,1.0,38.0,0,0.0
630,1.0,36.0,0,0.0
630,2.0,34.0,0,0.0
630,1.0,29.0,0,0.0
634,1.0,63.0,1,0.0
634,2.0,64.0,1,2.0
637,2.0,57.0,1,8.0
641,1.0,69.0,1,2.0
641,2.0,63.0,0,0.0
643,2.0,58.0,1,3.0
647,1.0,68.0,1,7.0
648,1.0,67.0,0,0.0
649,2.0,38.0,0,1.0
649,1.0,58.0,0,0.0
654,1.0,63.0,1,0.0
656,2.0,57.0,0,1.0
659,1.0,38.0,1,0.0
659,1.0,42.0,0,0.0
660,1.0,68.0,0,1.0
662,2.0,63.0,0,0.0
666,1.0,8.0,1,0.0
666,2.0,41.0,1,1.0
667,2.0,58.0,1,0.0
670,2.0,45.0,0,0.0
676,2.0,54.0,1,1.0
676,1.0,20.0,0,1.0
676,2.0,37.0,0,1.0
684,2.0,56.0,1,3.0
691,1.0,64.0,1,0.0
705,1.0,61.0,1,0.0
706,1.0,64.0,1,1.0
707,1.0,25.0,1,1.0
714,1.0,56.0,0,0.0
714,2.0,65.0,0,0.0
722,1.0,59.0,1,3.0
730,1.0,67.0,1,0.0
732,1.0,64.0,0,0.0
732,2.0,64.0,0,0.0
740,1.0,65.0,1,0.0
742,2.0,76.0,0,0.0
742,2.0,75.0,0,0.0
742,2.0,68.0,0,0.0
746,2.0,63.0,0,2.0
751,2.0,46.0,0,4.0
758,2.0,46.0,1,2.0
764,2.0,60.0,1,2.0
765,1.0,66.0,1,2.0
765,2.0,56.0,0,0.0
774,1.0,30.0,0,0.0
774,2.0,30.0,0,0.0
782,2.0,62.0,0,0.0
786,2.0,33.0,0,0.0
786,2.0,28.0,0,0.0
